review,label,predicted_label
"Haven't used mine much yet, but some first impressions --<br /><br />Synched up with my Nook HD+ without any real difficulty.  You need to push the \\""bluetooth synch\\"" button firmly, but otherwise it just worked as expected.  I'm running a custom Android/Cyanogen distro from the SD card, rather than the stock B+N Android image.<br /><br />The keyboard itself is a little small/cramped for my hands.  The keys themselves feel a little flimsy, but they work well enough.<br /><br />The case seems nice, reasonably sturdy.<br /><br />On the whole, it works fine.  The keyboard is probably only comfortable/suitable for light use (email, taking notes in class, etc), but for significant typing you'd likely want something else.",3,1
"This is a clone of a $500 device. Don't expect it to do what the dealership can do with theirs. But it got done what I needed to get done. You should know that there is some software piracy involved in the use of this, as you'll have to use a &#34;crack&#34; to use the Techstream software.",3,1
Flaky performance. Terrible remote. Good sound. Wait until ...XT2,3,2
the mounting bracket is very good but the stud snapped in half after a day i had to go to radio shack and buy a new one but very good mount.,3,1
"The sound has not met my expectations and left me surprised. There are other JBL models, with better sound quality.",3,1
This case was okay protected it but not worth it,3,1
I received it on time however could not set it up.   The instructions were not very good ..I am glad I had a friend to could put the numbers in for me and once that was done it works very good for what I wanted it for.  Make sure you know how to set them up if you order this product.,3,1
"It says it fits them all, but it doesn't fit the 2012 version very well.  The hole for the front-facing camera is too small and not quite in the right place.",3,2
"These terminal connectors are ok not great. but the reason for the 3 stars is because two of the terminals were pre used, cleaned and then sent to me, within a couple of days those two were already beginning to corrode, I only used them because I didnt have any others to complete the system.",3,2
Good little clock for the price.  The only problem I have<br /> is the night light is too dim to read the time in a dark room.<br /><br />Minnie Mama,3,1
"The case itself is very durable. It has a couple drawbacks. I cant plug the Zen adapter all the way in unless I maneuver the case a bit to fit it in. If I dont it comes unplugged occasionally when going over bumps or corners( I used my zen for my car stereo) The other complaint is that being a flexible case, the screen that is inside of it comes out very easily, it only stays in with two hinges on the bottom, which constantly move around and maknig the screen useless;",3,1
"Do not buy this sub for sound quality! The suggested parameters for a vented enclosure recommended by hifonics is a stretch, to put it lightly.  My computer kept telling me that it would sound like crap and guess what...it did.  However, with enough power to create a lightning storm over a small town this sub will get loud.  Since this sub was almost free at $60 I still have to give it 3 stars just because it played and didnt explode at 1700 watts from a professional Crown amplifier (1700 watts from Crown = 1,000,000,000 watts from cheaper car amps who inflate numbers.",3,2
I installed this on my wifes 09 accord and I have to say..... Was not too happy with this thing. I fought with this thing for hours so that the pin in the back did not break. Watch out for your air conditioning buttons cuz they will get stuck if you do it wrong. Also on the drivers side there is a lil gap so that sucks. O and with out cutting the brackets for the 2 din part you will never get it in. As far as the finish look its not going to be flush even if you cut parts away from the front...  I just hope that my wife is not too mad when she sees it for the first time tomorrow lol,3,2
"i dont own this, was shopping for one,  but finding a good review on a sat radio is tough, even tougher finding a good review om xm. not sure if i want to get involved with any of this listening to the radio is supposed to be fun. this doesnt sound like a good time.    going to look at hd radio next probally find the same B.S.",3,1
"The case is cute, but it's a pretty cheap plastic design. It's difficult to close, you have to line it up just right. I don't expect it to last, but the price was good.",3,1
My boy had one so I tried it out but apart from that its a good  LCD good for music,3,1
"It doesn’t really matter which “brand” name you see this little dashboard cam listed under here on Amazon.com, they are all the same. You get a front camera with a small LCD screen to view the action and see the menu options, a rear view camera, USB cord, Power cord, suction cup and adhesive attachments and a remote control.<br /><br />The cables are plenty long enough to set this up and hide the cables in a standard car (not sure about an SUV).<br /><br />The cameras are cheap plastic units that feel like they could be easily broken. They do rotate so that you can try to get the best angle/view.<br /><br />The instructions are pretty much useless as is the remote control. I found the remote only works to turn the unit off/on, which you do not need since the unit starts with your car and shuts off after the car power turns off.<br /><br />There is NO infrared (IR) ability, even though it is advertised as such.<br /><br />There is supposedly an internal battery, if there is it lasts less then 5 minutes.<br /><br />The unit will not overwrite the files as the instructions say. You actually have to swap out, reformat or empty your SD card when it is full. Otherwise the unit will get in a loop of turning on and immediately turning off (which makes it hard to format the card in the unit at that point.<br /><br />My rear camera kept falling off the window. Adhesive stuck to the window but the camera came away from the adhesive. Had to glue the camera to the adhesive that was still on the window to get it to stay.<br /><br />This does not record in HD. Video quality is often spotty and unfocused. I have had clear results and very bad results with choppy footage and frozen frames.<br /><br />I have mine set for 5 min record time but it will not record more than 1 minute at a time no matter what I do. Sometimes it does not even record at all (missing footage when I go back and review my drive).<br /><br />For the price I will keep it until it dies completely. While I have not had to rely on the footage for any accidents it has captured some of the idiots out there on the highways.<br /><br />It also messes with your radio reception.",3,2
"I failed to read the specs again because this is WAY smaller than I thought it would be, even based on pics.  Also, it's VERY flimsy, there are barely any beads in it so it's hard to get it positioned right, and if you're trying to balance it on your lap (or in my case belly!) it's precarious to say the least.  I'm constantly readjusting it which is annoying.  And this is minor, but if you want the cute funky eyes to show while reading, you have to set your Kindle to landscape mode and place it sideways. That's one way the pics are misleading.  And really.....why are there not more fabric options????",3,2
Was ok. Nothing great. Has decent signal strength little static,3,1
i bought it  and it took me a little to understand how to use it but it worked fine I don't recommend to put it on the highest volume because it could get  damaged.<br /><br />the battery works when it wants some days it works some days it wont be able to work disconnected from the computer<br /><br />it is a decent speaker anyway,3,1
Not properly contoured to go around your ear. Also some signal deterioration.,3,2
"The case for the price is a pretty good deal, the construction of it is a little skimpy in the materials aspect. But for the price one can't complain. It's no otterbox, but a good in between until you can get one.",3,1
"I really like this speaker for quality of sound only.  It sounds great!  I would give it more stars but the volume is an issue.  It has no better volume than the volume of your existing laptop speakers.  My volume was low on my Thinkpad and I was hoping that it was a speaker issue but when I hooked this speaker up the volume of the new speaker was no louder than my existing built-in speakers.  There was no volume control on the portable so it was actually no help.  It also has a really bright blue light right in the middle of it so if you sit the speaker on top of your screen, then you have a piercing blue light right in your line of sight.  It might act differently for you but this is my experience.  Also, if you use the paddle to hold it onto your laptop lid, it will stay put as long as you aren't moving your computer about.  If you are moving your computer around, It will not stay attatched.  It will simply topple off.",3,2
"Seems like you get a lot with this package. However, when you start taking into account some of them don't work, or work properly, it really boils down to very little. We've had this set for over 6 months now. First, the setup is not for an amateur. You either need to have this professionally installed, or know a lot about wiring yourself. We did it ourselves, and although we thought we knew plenty, there really is no way to do it yourself in a professional-looking way. It doesn't say this outright in the description, but you cannot just plug this in to your car's lighter plug and be ready to go. You have to wire it yourself into the car's electrical system. Pain in the butt. And to hook the two components together so that you have the functionality it brags about of sharing one DVD with the other screen? NOT user friendly at all.    Second, DVD menus are inaccessible for the most part. You just have to pop the DVD in and it plays what it wants. It will pick up where it left off when you start up again, but sometimes it just won't play at all anymore and the only fix is to take out the DVD and play another one. Then MAYBE your original one will work again, when it feels like it. It is very unpredictable. One of our DVD movies will only play the bonus features and not the movie. And again, no title menu to access to fix it. Very odd.    Third, the \\""wireless\\"" game remotes don't work at all. I mean, AT ALL. Just throw those in the garbage. And even the wired ones are pretty useless. It came with 4 and within a week we were down to one. They are cheap and break very easily.    So, as far as having a DVD system in the car with two separate players - it's great. But keep in mind all the bells and whistles this promises are irrelevant. Would I buy it again? Maybe. Wish I could have spent less on it. Would I get excited about all the extras again? No way.",3,2
"I received the 2 cables that I ordered extremely fast (have prime).<br />So let's start with the charging ability. I charged my iPad and iPhone 5 and it worked great to charge it. Although one of the cables only charges on one side of the cable, not both. I do NOT get the error message about the cable not being certified.<br /><br />On the syncing, it will not sync to my computer at all. It won't even get recognized or even charge it. I tried on a windows PC and on a Macbook and neither has acknowledged the iPhone being connected.",3,2
"I recently traveled on a beach vacation and took my Kindle.  I had previously purchased the amazon kindle leather cover, which I love, but it didn't protect from sand and potential moisture exposure.  I purchased the touring sleeve with the thought that I could slide my kindle with the leather cover inside it.  Unfortunately you can't because the sleeve fits so closely.  It's a small problem but none the less a problem for me.",3,1
This product fits real tight but not sure if it will protect the product against a drop.  Its made out of the plastic that will probably crack if it gets dropped.  But this may keep the iPod from breaking.,3,2
"Tried a pair of these in my car in subwoofer box equal to about 2 cubic ft per speaker. I Hooked a Visonik 350 watt rms amp to them and no matter how I set the levels on the amp I was only happy with these speakers at lower volumes.Tried porting the box and only made it worse.Replaced these in my car with 15 inch audiopipes and was much happier with audiopipes.So then I made larger sealed subwoofer boxes and put the bass15 speakers in them(about 4 cubic ft per speaker)hooked to home stereo and this is where they shined.I would recommend these for large enclosures but didnt want enclosures this large in my car.Also wouldnt put more than 100 watts rms to each speaker.On the home stereo they will stay,so much bass my wife cant stand it.",3,1
"I purchased this speaker with the hopes that it would be a nice alternative to taking bulkier speakers on a vacation with me.  I love the idea that this is small and compact.  You can also hook up more than one at a time; however, I was really disappointed in the sound that came from this speaker.  The sound lacked any sort of base whatsoever. It sounded like it was muffled and coming from a tin can.  It is definitely not something you want if you seriously want to listen to music; but it would be fine to take to the beach, etc.  The Altec Lansing Orbit was definitely a better choice over this speaker, but if you're looking for something cheap and not too worried about sound, then this speaker is for you.",3,1
"I bought this for my new iPod in December of 2010. I received all parts. After a few weeks of use, however, the purple case began to rip near the bottom, where the most stress is. Now, I find it impossible to use because my iPod will slip right out of it. Note: I did not use it with the arm band, that was not the cause of it breaking. This is regular wear. For use only with iPods used lightly.",3,2
"This isn't exactly a review since I haven't purchased one of these; but I probably would if it weren't for one thing: this unit comes with Nickel-Cadmium Rechargeable batteries rather than Nickel Metal Hydride (NiMh). The difference is that NiCad batteries have less capacity, are much less environmentally-friendly, and worst of all tend to develop a &quot;memory&quot; for the the last place they were discharged down to, so that the next time you use them they will only discharge again down to this level, resulting in even less capacity. The commonly recommended antidote to this is to make sure the batteries are fully discharged before you charge them back up again, but this is highly inconvenient. Its hard to understand why Sony did not choose to provide this unit instead with Nickel Metal Hydride Rechargeables.",3,1
"Way too much static and hiss regardless of how many channels I tried.  When in a tunnel without any radio reception, there was no hiss but still the sound was very flat and the volume was very low.  I tried several combinations of volume adjustments and different stations and even different cigarette lighter outlets... not too good.    Remote is not that good - even if you are within 1 inch of the unit.    You have to plug in the unit to the iPod, so it's not a true cradle... not very convenient.    Only good thing is that it turns the iPod on and off as you turn the car on and off and charges the iPod effectively.  I've been using an adapter from the audio jack of the iPod connected to the tape deck so all in all it's not a complete waste - but I would not buy again or recommend.",3,2
"When I ordered this, a picture clearly shown a screen protector, which is why I ordered this, to keep my orders and shipping prices to a minimum. When I got the package, no such protector was included. I then emailed the seller, 2 days later, still no reply. Terrible customer service!!!   The case itself has a good look to it, although the piece or material at the bottom is very flimsy, as well as the kickstand itself feels like its just waiting to fall off.",3,2
Previous model (S10) sounds better.,3,1
"Convenient USB mp3 player port, lacks bass, display disappeared when left in sun but returned. Has analog dial tuner - works ok but strangely old school. I like it well enough. Paid about 75 dollars and like the features.",3,1
I bought this for my daughter. She thinks it's retro cool. It's exactly what the product description says it is.,3,1
"It works for a little while, but obviously for the price, they are not well made and mine stopped charging my phone/iPad within a month or two.",3,2
this is a good little radio. Your voice will sound a little scratchy when using a repeater but it gets the job done. The only bad thing with this radio is that you can not use the kenwood style plug to program this radio. The newer uv-3r will accept the kenwood programming plug. I suggest buying that model even tho it is a little bigger.,3,1
"The swivel function design is kind of strange and a bit useless if your using it in a vehicle.  But it works, has been reliable enough so no qualms there.",3,1
A bit difficult to install.,3,1
"The case fits my player perfectly but it is not as pink as it shows in picture. Way light pink, color looks like chewed up bubble gum :-(",3,1
Had good sound but the Bluetooth connectivity was not the best,3,1
I gave it a five because it works as well as the Apple product for less money and most of all.....a longer length.  The Apple cords are just not long enough.  I am very pleased.  Shipping was quick and on time too.<br /><br />Update: stopped charging halfway through. Disconnected and reconnected now charging again.  Hmmmm.,3,1
"Bought a pair of XS-GTX6931 and received a pair of XS-GTX6932. Discount Jungle insisted that they are a replacement for the former and are exactly the same size. If that is true, these most definitely do not fit my Dodge Ram 07. The speaker basket is too large by 1/4\\"" all around. Even if I butcher the door metal and adjust the magnet to be 1/8\\"" from the glass, the mid-range/tweeter assembly is 1/4\\"" too far out for the door panel to fit over top. DO NOT TRUST THEM when the green \\""fit your car\\"" appears. These speakers may be a great buy, but they do not fit Dodge Ram 06-on for sure.",3,2
These arnt hard hitting they are just OK. nothing really bass pumping. it DOES NOT COME WITH A 1000Watt amp IT IS ONLY 500,3,2
"It's plastic, it fits over your iPod Touch like a glove, it's kinda cheesy looking with it's semi-see-though skin, but I guess elasticity comes with a price. A good protector. Don't know if I'd purchase one again, though.",3,1
"It's a great case but there's not enough room for the power cord. It LOOKS like there should be from the picture, but it doesn't fit.  I have the Nuvi 780 so my cord with the traffic notification might be larger than some others.  The first GPS I had got stolen out of my car so I love the fact that I can put my new one in this case and it slips right into my purse.  If the power cord fit, it would be perfect.",3,1
"I purchased this rain and temperature station (RGR202) on July 23, 2010.  It arrived within a week.  The set consists of a temperature sensor, rain collector and a main display unit.  The Quick Start Guide instructions were very straight forward and easy to follow and it is very important that you follow the instructions to successfully assemble and operate the units.  The temperature sensor is easy to set up but be sure to mount the unit in a shaded area as I have noticed up to a 12 degree swing between direct sunlight and shade, with the shaded reading being the correct temperature.  The display unit is easy to assemble but you will want to take your time in setting the correct time, date, and year.  Pushing the reset button will result in a complete loss of these settings.  The rain collection unit can be a real stinker to assemble and level and quite honestly, in my case, not very reliable.  I am currently working with my THIRD unit.  The original one was an older model that required the removal of several screws to access the batteries, a real pain.  That unit was inaccurate by about half of what the total rainfall was for any one storm.  Oregon Scientific sent me a newer replacement unit (snap on battery door...very nice) but it had electrical problems after establishing communication with the display unit and quit working.  Another phone call and another week and my third unit arrived.  I set this unit up and three days later we had a 1.3\\"" rain storm, and much to my dismay the display unit showed nothing.  A spider had built a nest inside the collector that wouldn't allow the trip bucket to empty.  The nest has been removed and the unit seems to be functioning so now I just have to wait on the weather to see if the third time IS a charm.",3,1
"I bought this case for my personnal Creative Zen.  While the case is made well and has a protective clear cover over the display screen, it isn't very functional when being used.   On the Zen there are buttons around the touch mouse.   With the leather case on, I have a very difficult time using these buttons.  Most of the time, I just slip the Zen out of the case just to fast forward through a song.   Not what I had visioned when purchasing this case.",3,1
they do the trick but wear out very quickly.  Hard to keep from bending them and that is when it will cause the little wires to short out,3,1
I bought this case for my nook and it was great but it had no strap to keep it closed. I also didn't like the snap things you had to put it in. I thought I was going to ruin my nook. Nice case but not for me,3,1
"Got more station than my old antenna, but too much static.",3,1
"It does what it does, which is charge the Zen Vision M quicker than the USB cable would, but it also causes a loud buzzing in the headphones while charging, making it impossible to listen to music while charging the unit.    My best guess is its cheaply shielded and it's electromagnetic noise. I've tried solutions to no avail so buy if you must, but I suggest a higher quality charger.",3,2
I've finally got TV listings.    But where is the button to switch channels?    And help is needed with Advanced Settings,3,1
"Not like the original in terms of the response. I have to fight with it to get it to do what I want. Since I mostly use it as an FM receiver for one channel, not a deal breaker for me, but definitely not as responsive as the original screen was.",3,1
The Garmin mount adapter that came with this unit does not fit on the ball attached to the base. You will need to use the original adapter that came with your Garmin. Other than that this unit works fine. Other folks here have made the same comment.,3,1
Cute! Durable,3,1
I have the Iphone 4s and a Lifeproof case.  The extender is awkward to use with my docking station. Maybe my station is too old. But the fit was just off a bit.  Might work for someone else.,3,2
"This mono speaker puts out good sound for how small and cheep it is.  I love the rechargeable battery and multiple inputs.  The interface is a little hard to read and harder to figure out but works reliably.  The MP3 player does not allow nested folders either so I hope you like random playback, because options are limited.",3,1
"I just got this product and these are my thoughts. I am using this with a USB drive. If you want it to sound better (the sound is not great) turn down the volume on the device to about 10 and work the volume on the radio. When you are playing a song, push pause and go through the different radio stations and find the one with the least amount of static, you will get a clearer sound. If you turn off you car it does not save your place unless you have the cigarette lighters that stay on while the car is off and then you will need to press pause. I am very satisfied for the price. It does what I want it to do and it was under $5 to buy it and get it shipped to my house. If this broke after a year of use I would buy another one.",3,1
"As a buyer of well-over 300 Baofeng radios (and counting) for the group I belong to (not all of which were purchased through Amazon but many were), I'm always amazed at the lengths some sellers go to to hype their products as being \\""newer\\"" or \\""better\\"" than other models, or perhaps (to give them the benefit of the doubt) they just don't know any better.<br /><br />First, the Baofeng UV-5R series (including the original and still extremely popular UV-5R, I'll explain why in a minute) is what is normally referred to by many as a SDR radio (or software defined radio).  While not a true SDR product (you can't use it with your computer to control the radio's functions or scan a wide amount of VHF/UHF frequencies with it), none the less a large chip is programmed on the circuit board built inside each radio.  That chip determines what capability the radio itself can perform.<br /><br />Every UV-5R series radio has the ability to transmit from 136-174 MHz on VHF and from 400-520 MHz on UHF in both narrow-band and wide-band modes (very useful for the occasional FRS or MURS use, which requires narrow-band mode to work correctly).<br /><br />Every model does \\""at least\\"" 4W on VHF/UHF from the factory, but occasionally you'll get a batch that does 4.5W or even 5W out, but the difference between 4W and 5W is minimal at best.  A 4W radio with a better antenna will easily outperform a 5W radio with the standard crappy antenna that Baofeng ships on ALL (including the UV-5RA, -5RAX, and -5RAX+) models.<br /><br />Baofeng DOES NOT program those chips any differently for the UV-5R vs. any other UV-5R series (including the UV-5RA).  Version 307 of the firmware (which is the most current release I have in any of my radios) works EXACTLY the same way as previous older releases of firmware at least back to the 295 release (over a year ago), so any claim from a seller that this release provides additional features (at least from a user's perspective) is simply BOGUS, since the firmware inside both radios have the same features.  In fact, my UV-5R radios with the 307 firmware release is EXACTLY the same radio (inside and within the firmware) as my UV-5RA radios with the 307 firmware release.<br /><br />Second, you CANNOT in any way upgrade the firmware (unless you count buying a different radio and it comes with a different firmware release), so again the claim in the listing from some sellers that you can is simply BOGUS.<br /><br />Third, you can believe that two thinner pieces (glued or screwed together on the faceplate of the UV-5RA) is somehow stronger than one thicker piece of plastic (on the original UV-5R series) if you like (and maybe it is), but I haven't seen that in real-world use from my own UV-5RA units.  The standard UV-5R units that we use seem to hold up just as well (when dropped in the desert dirt or rolling down a hill) as any other Baofeng radio we own and use.<br /><br />Fourth, and my biggest issue with all of the non-standard UV-5RA, UV-5RAX and UV-5RAX+ units, is that NONE of the Baofeng battery accessories (except the little 1800 mAh standard battery) work WITHOUT modification (unless you use a Dremel tool to grind or cut off part of your extended battery that works on the standard UV-5R - but won't work on your UV-5RA, UV-5RAX or UV-5RAX+).<br /><br />Getting new UV-5RA units that don't work with Extended 3800 mAh batteries (without modification) doesn't make my group happy.  That may not bother you, but NONE of the sellers of the non-standard UV-5RA, UV-5RAX, and UV-5RAX+ units ever seem to mention that lack of hardware compatibility in their listings, so buyer beware!<br /><br />BTW, NONE of the \\""AA\\"" or \\""AAA\\"" battery shell packs work on the UV-5RA, UV-5RAX, or UV-5RAX+ units either, so that's 3 different battery accessories (including the 3800 mAh extended battery) that you can't use on these radios without hacking them with a Dremel tool (but they all work without modification on the original UV-5R units).<br /><br />So \\""if\\"" you want a \\""pretty\\"" radio (as my wife calls it), buy one of the various versions of the UV-5RA (or -5RAX, or -5RAX+) with the shiny face plate and live with the fact that you'll be modifying ALL of the battery accessories you buy later in order to get them to work.  Oh, you should see how well that shiny faceplate lights up when a flashlight hits it in the dark, just the thing you don't want for night use.<br /><br />Virtually every guy in our group ends up carrying a standard UV-5R and giving the UV-5RA, -5RAX, or -5RAX+ to the wife or kids, since the wife and/or kids rarely care about the other accessories working and they (the wife and kids) tend to like the \\""pretty\\"" radios, but again there is NO INTERNAL difference and NO EXTRA FEATURES in the UV-5RA, -5RAX, or -5RAX+ units (other than a different looking shiny faceplate) vs. the original and still wildly popular UV-5R (which I refer to as the M16 of radios, as all the accessories you match it up with just plain work).<br /><br />Now you know the real background on these radios.f\\"" you want a \\""pretty\\"" radio (as my wife calls it), buy one of the various versions of the UV-5RA (or -5RAX, or -5RAX+) with the shiny face plate and live with the fact that you'll be modifying ALL of the battery accessories you buy later in order to get them to work.  Oh, you should see how well that shiny faceplate lights up when a flashlight hits it in the dark, just the thing you don't want for night use.<br /><br />Virtually every guy in our group ends up carrying a standard UV-5R and giving the UV-5RA, -5RAX, or -5RAX+ to the wife or kids, since the wife and/or kids rarely care about the other accessories working and they (the wife and kids) tend to like the \\""pretty\\"" radios, but again there is NO INTERNAL difference and NO EXTRA FEATURES in the UV-5RA, -5RAX, or -5RAX+ units (other than a different looking shiny faceplate) vs. the original and still wildly popular UV-5R (which I refer to as the M16 of radios, as all the accessories you match it up with just plain work).<br /><br />Now you know the real background on these radios.",3,1
"the product only has two benefits, first the blue led, second the sound quality is pretty good, not great but pretty good... now for the flaws the item i received is not the item shown in the picture it is similar but not the same the neck is almost a foot long which gets in the way of my cars controls for heat n radio it isnt very flexible and falls over and disconnects all the time it has actually broken the outlet in my car, further more the transmitter in the picture shows that the station channel viewer is slanted on the top so the channel and song can be viewed at the same time but it isnt its horizontal on top so to see the channel u have to unscrew the back turn it over with hopefully not unplugging it then change the channel and re align it which is extremely annoying and dangerous while driving so over all this item isnt so good i just received it and i've already ordered a different one from dlo there products are usually very good luckly this product is only $11 so im not that upset but i am still a little peeved",3,2
"I installed the screen protector as soon as I received my Kindle just to minimize the amount of dust that could get trapped under the screen and sure enough, no dust bubbles.  It did take a steady hand and patience to get it on.  The cloth provided does leave particles on the screen so just view the screen from an angle to see if dust is present before you apply the product.  I suspect dust and air bubbles will always be a problem when applying screen protectors, whether it be this brand or another one, especially when the screen you're covering is relatively large.  Just don't be a perfectionist about it.  And if you are, then maybe a screen protector isn't for you.",3,2
"After looking for days for a new iPad case that was functional but a little girly, I found this one.....and it is exactly what I was hoping it would be!  Effective, flexible and attractive to boot for about half the price of other comparable cases. May buy another color as a spare!<br /><br />Update: Have had the cover now for several weeks.  Downgraded the cover from 5 to 3 stars,,,,,it no longer puts my iPad to sleep when the cover closes. Disappointing.  But still very nice to look at!",3,1
is what it looks. was hoping for a harder front as the one I made myself was of similar quality,3,2
Often its full of static in most cars and its cheaply made but it works and is affordable so I don't recommend it but its okay I guess.,3,2
"I am having trouble getting it to link up with my Kindle, however I haven't given up yet and hoping a friend will help me with it tomorrow. It is a beautiful case and was very much as advertised. I just want it to work so bad is all.",3,1
"This looks nice, and it's wearing well. The only problem with it is the little bump that's right over the reset button on the Nook. When I put it in my backpack, if anything presses against it, it powers down. A couple of times it reset completely and I had to re-register. It looks like they did it deliberately, but I can't figure out why they would do that. I finally got tired of it, and installed it upside down so that button wouldn't do anything, and now it doesn't open like a book, which is a little annoying.",3,1
"Well, the cord does what it is supposed to do.  It plugs my ipod into my alpine deck.  It charges my ipod and I am able to control the volume and skip songs from the deck as well as a couple other features.  However, when your ipod is plugged in you can not access any of the features ON your ipod.  It is a dark screen.  So I can't use the toggle wheel to select albums or choose specific songs.  Once it is plugged into the deck you can only use the deck to control the ipod.  Which means you are relying on the decks limited display and control buttons.  Other than that it's ok.",3,2
"Very nice looking case.  Fits perfectly.  I don't know why they included a strap... there's no place to attach it.  The hard shell cover still causes i pod to slide.  I wanted one of the cases that you can put on your dash and it wouldn't slide.  Price is right, so all in all, good deal.",3,1
"I was really excited for my kindle.  Can it do the same thing my mini computer and my DROID phone can do...yes.  Did I have higher expectations...yes.  Because Im the let's give this kindle a product a chance I didn't send back.  Would I recommend it, eh, maybe.  My original kindle I love bought the very first one, I don't need wii-fi to download from anywhere and with my new one I do.  Wish for at least the price Kindle could have come up with something for that.  If I am on the road with no wii-fi what's the point?  So yes, a lil disappointed but can use it to download movies for my kids for travel for the movies they don't have to play on their portable dvds or maybe while on the plane traveling.  Color is nice but Ill never give up my original kindle!",3,1
like the case- its nice and trendy.  the colours are not quite as bright as the picture shows. but bright enough though.  not a super quality one.. but the kid likes it and it does the job :) .,3,1
"Cute cover, but ours arrived with a flaw.  There was something wrong around one of the magnets inside the cover, the cover was scuffed, scratched, and protruding and looks bad.  Poor QC.  Also the magnets don't do a good job of holding the cover in place very well, they are too weak.",3,2
"I waited a while before reviewing this to see how it held up.  I had no problem connecting via WiFi, but sometimes the sound cuts out and that's annoying.  I wanted to be able to listen in the kitchen while I'm cooking without having to use ear-buds.  I just connect it to my phone or ipod and it works great.  If I only wanted to use it remotely, I might think twice.  I've only used it with WiFi twice.  The sound cut out a few times and since that annoyed me I've just been plugging it in since then.  Perhaps if I'd used it more often I'd have had less problems with the connection.",3,1
These little speakers are awesome. They are loud and give out great sound for being so small. I recommend them to anyone.<br /><br />The headphones on the other hand... The sound was pretty good and they were fairly comfy. But within 4 hours of using them they began to fall apart. I won't be getting another pair of these.,3,1
"\\""This doesnt fit the iPhone 4s. I used all three screen protectors just to get a \\""halfway\\"" decent alignment. You get two back protectors too, but if your phone is in a case you dont really need it.",3,2
Well I bought this case and it lasted for 2 months and then it started to fall apart and the pAint started to chip of and it left white spots. I was furious with this product,3,2
i bought this thinking it was a case to protect the shuffle. it only fits on the front and its a thin little piece of plastic.     update:the seller is dependable and genuinally wants to have happy customers. they refunded my money and i never asked for a refund. i would buy from this seller again.,3,1
"I first reviewed this product and gave it 5 stars.  Now I have no choice but to give it 1 star.  When I plug my phone in, the charging indicator pops up on my phone, but upon further inspection, charging indicator or not, the phone is slowly draining power.  I confirmed this when my phone was low on power, died while charging, and was not able to generate enough of a charge to restart.  I am attempting to charge a single Galaxy Nexus phone.<br /><br />UPDATE:  I have again revised my review from 1 star to 3 to reflect a more neutral total experience.  Although this item did not work for me, I received an automated email from the seller I bought my charger from(Kellys Computer) nearly a month after my purchase asking If I was happy with my purchase to leave positive feedback.  I replied that the charger was not working for my phone and was was promptly replied to on a Sunday night and promised a refund in the morning.",3,2
